Field=#~Integer~#~50|Field=Comment~String~Comment~292|Field=Cost~String~Cost~292|Field=Description~String~Description~292|Field=Designator~String~Designator~292|Field=Footprint~String~Footprint~292|Field=LibRef~String~LibRef~292|Field=MF~String~MF~292|Field=MFPN~String~MFPN~292|Field=Quantity~Integer~Quantity~292|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~JDB-001.PrjPcb|ReportField=ProjectFullPath~C:\Users\sdand\Desktop\jewelbots\JDB-001\JDB-001.PrjPcb|ReportField=Title~Bill of Materials For Project [JDB-001.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~85|ReportField=ReportTime~11:36:27 AM|ReportField=ReportDate~6/13/2016|ReportField=ReportDateTime~6/13/2016 11:36:27 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 Eldridge St.|ReportField=Address2~5th Floor|ReportField=Address3~New York, NY 10002|ReportField=Company~Jewelbots, Inc.|ReportField=Engineer~S. Dandona|ReportField=PCB_partnumber~JDB-001|ReportField=PCB_Rev~1|ReportField=PCB_Title~Dev. Board|ReportField=PCBA_PartNumber~A|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~6/13/2016|ReportField=CurrentTime~11:13:12 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\sdand\Desktop\jewelbots\JDB-001\Schematic\Top.SchDoc|ReportField=DocumentName~Top.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~6/13/2016|ReportField=Organization~|ReportField=ProjectName~JDB-001.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~JDB-001.PrjPcb|ReportField=DataSourceFullPath~C:\Users\sdand\Desktop\jewelbots\JDB-001\JDB-001.PrjPcb
1|Part Number|0.36562|ANTENNA SMD EIA 0402 2.4GHZ|A100|2450AT07A0100|2450AT07A0100|Johanson Technology Inc.|2450AT07A0100E|1
2|Part Number0.1uFDNP|0.00780|CAP CER 0.1UF 6.3V 10% X5R 0201|C100, C104, C111, C206, C207, C211, C214, C306|Cap 0201 HD|Cap 0201 0.1uF 6.3V|Murata Electronics North America|GRM033R60J104KE19D|8
3|Part Number15pFDNP|0.00900|CAP CER 15PF 25V NP0 0201|C101, C102|Cap 0201 HD|Cap 0201 11pF 25V|Murata Electronics North America|GRM0335C1E150FA01D|2
4|Part Number1nFDNP|0.00600|CAP CER 1000PF 25V 10% X7R 0201|C105|Cap 0201 HD|Cap 0201 1nF 25V|Murata Electronics North America|GRM033R71E102KA01D|1
5|Part NumberDNPDNP|0|Capacitor, Ceramic 0201, DNP|C107, C108|Cap 0201 HD|Cap 0201 Generic|N/A|DNP|2
6|Part Number47nFDNP|0.03000|CAP CER 0.047UF 10V 10% X5R 0201|C109|Cap 0201 HD|Cap 0201 47nF 10V|Taiyo Yuden|LMK063BJ473KP-F|1
7|Part Number2.2nFDNP|0.00630|CAP CER 2200PF 16V 10% X7R 0201|C110|Cap 0201 HD|Cap 0201 2.2nF 16V|Murata Electronics North America|GRM033R71C222KA88D|1
8|Part Number1.0uFDNP|0.00990|CAP CER 1UF 10V 10% X5R 0402|C200, C201, C209, C210, C301, C305, C307|Cap 0402 HD|Cap 0402 1.0uF 10V|Murata Electronics North America|GRM155R61A105KE15D|7
9|Part Number10uFDNP|0.12650|CAP CER 10UF 10V 20% X5R 0603|C204, C205|Cap 0603|Cap 0603 10uF 10V|TDK Corporation|C1608X5R1A106M080AC|2
10|Part Number4.7uFDNP|0.11730|CAP CER 4.7UF 10V 20% X5R 0402|C208, C300, C302, C304, C309|Cap 0402 HD|Cap 0402 4.7uF 10V|Samsung Electro-Mechanics America, Inc.|CL05A475MP5NRNC|5
11|Part Number1.0uFDNP|0.27950|CAP CER 1UF 6.3V 20% X5R 0201|C213|Cap 0201 HD|Cap 0201 1.0uF 6.3V|Samsung Electro-Mechanics America, Inc.|CL03A105MQ3CSNC|1
